RevTotal1,RevTotal2,RevTotal3,RevTotal4,RevTotal5,AssetsTotal1,AssetsTotal2,AssetsTotal3,AssetsTotal4,AssetsTotal5,RevTotal6?
573452,597229,613625,640298,659377,10974511,10531086,10226762,9848089,9493896,
920689,920952,939441,922284,899497,7683301,7226608,6886567,6511299,6155462,
1183707,1093836,1216504,5620895,383135,5130603,5047282,4939744,4949465,0,
180818,196150,229882,234561,237140,4798882,4709132,4649161,4576380,4510029,
2195950,2460190,3011857,1950066,1974270,16319483,15817305,15206218,15834368,15042240,
323880,265104,279434,258410,163359,132459,121866,127381,145031,132859,
3883944,3902872,3890336,53700134,28215,17517760,13902775,14236480,5152919,0,
4493250,5006123,5224817,5937291,7188276,7230019,8158616,11926505,13491180,14124069,
265923,259666,257974,274135,276192,2289185,2168948,2064073,1953641,1853205,
593105,597338,599751,635324,640313,6734809,6536847,6330827,6144813,5948260,
1370918,1088826,1366494,1440354,1454363,674210,476782,411762,302235,184507,
1556484,1635900,1623873,1637796,1718076,0,0,0,0,0,
0,0,0,0,68778,0,0,0,0,390338,
597287,445681,487409,444967,517743,446812,525247,601840,619424,674870,
39621152,55352818,181779157,53548072,46318158,236035243,272394689,452931845,517238288,525804145,
2723917,2751906,2944109,3167556,3794581,7532621,7738769,9067246,8476426,8645642,
515784,539869,549994,557730,583649,1460939,1441180,1379325,1308504,1263401,
3693363,3986049,3983304,4291062,4131444,9066639,8981234,8415337,8284009,8413331,
1041241,1146975,1187484,1185042,1191832,3048433,2973196,2941808,2812559,2810868,
1826029,1826566,1868619,2208187,2284816,3478875,3316136,2924514,2769925,2894558,
2416872,349227,256690,277078,292699,21717756,6454894,6258830,6535908,6836622,
6201979,9430486,5675492,4234157,4191872,23991894,22391331,16711029,12442071,13456993,
1023446,1176790,1286542,1323684,1334848,3549957,3447119,3448758,3454779,3493426,
1096993,1097368,1285066,1305752,1093294,4835851,4657933,4479621,4312357,4150641,
50810,56505,51680,40617,28517,1277450,1331121,1382801,1423418,1451935,
0,0,0,2,0,0,0,0,1358682,140557,
1228290,1855303,1645837,1627073,1713898,12114194,11644785,11706692,11807709,11995563,
866020,866166,1119062,1277502,1275686,7144997,6903165,6835592,6838274,6864273,
72435,75529,74603,73932,78900,646653,614325,577301,530376,500132,
17928875,17594801,16237307,17473028,17782634,18043321,17144517,15371069,14100700,14390385,
13488,27478,24431,33943,25787,97824,120718,145016,172330,205778,
0,0,0,0,0,0,0,0,0,0,
95043,129279,76632,90864,33422,1709933,1760095,1819337,1889045,1876586,
90362,91395,94233,105383,101527,1226414,1207790,1165095,1141703,1141218,
546652,560937,565381,563538,692116,2951443,2684698,2559880,2408696,2373953,
312550,1605,521,127,10001,509533,375013,341208,98607,47722,
122445,123667,132322,138103,432529,448425,442527,396934,377386,0,
-6132,71330,548333,95814,123620,996885,779073,1111938,1092920,1411935,
0,0,0,150000,0,1622765,1622739,1622714,3967908,3753505,
1056391,938927,885762,945491,1067991,5854655,5739018,5460370,5234326,5127886,
95390,91759,96240,93035,100306,693413,646420,613224,556337,520340,
151434,159961,219863,214120,237432,574876,545159,559550,496299,469205,
372687,1648616,3039842,355357,1514358,3125936,5434684,7963204,7705111,8628579,
3563677,3410250,3643090,2850732,2552822,1485909,1153124,1109107,685364,578542,
395418,396312,415902,447468,460180,3570166,3507122,3482476,3457057,3448206,
-9735,-4620,-15577,-66338,112520,1762559,1754127,1719679,1716592,1656919,
15492610,15689077,16109912,16187476,16041067,25264282,23434950,22310993,20710646,20691800,
100,100,100,100,100,235587,235571,245391,251946,223762,
