RevTotal1,RevTotal2,RevTotal3,RevTotal4,RevTotal5,AssetsTotal1,AssetsTotal2,AssetsTotal3,AssetsTotal4,AssetsTotal5,RevTotal6?
814739,723771,842375,792145,1081005,15557341,15396933,15013149,14556473,14395579,
230477,295147,278393,309845,326141,3519630,3741477,3955043,4168755,4455298,
1621153,1648034,1645570,1696979,1723788,8128015,9129257,8716340,8316095,7897036,
3781540,2889400,4580149,3663861,3044022,2654475,2331310,3413196,4430594,4821234,
1857191,2720609,2612720,2471874,2853248,2342216,2446398,2610426,2529058,3252902,
1055596,1083395,1056903,1450897,1311729,3163879,3128672,3003355,3265406,3289543,
0,0,0,0,0,0,0,0,0,0,
-155163,-179798,-49946,26804,-411989,3743981,3207111,3044353,2999031,2661562,
4956790,4122421,3313313,3694532,2075917,5846517,4965426,4723646,4666987,3459014,
340564,335410,335974,320970,2967882,643843,664257,543620,518001,1580248,
49472,1486530,1555578,1540717,1584029,3437736,3394307,3272003,3230225,3132109,
31638,32672,33862,35315,37028,737432,770104,803966,839281,876309,
620577,748122,814371,914902,1023446,9258633,10015121,10842048,11745585,12696031,
1911349,2517943,2414756,2730154,2982793,604221,653778,637968,924377,1196070,
961746,973256,1100742,1396417,1578364,592590,522955,682547,866844,1111020,
2213835,2242761,2267273,2317390,2360747,8192791,6472983,6335219,6150702,6053454,
450230,428713,422476,439283,458352,405778,355780,341747,322084,286010,
1577971,1558676,1554582,1472108,1510393,4318639,4098933,3849831,3523653,3350168,
1014627,949895,948754,982253,6061784,2711229,2653899,2593650,2539086,3579038,
2820770,2799109,2662766,2688694,1707921,5025234,5016036,4810572,5558601,5326981,
3040129,3059668,2841486,2887996,2820866,6731842,6078315,5957982,5824774,5689480,
0,331836,2162606,24710,0,0,193618,1363147,1372306,0,
12487331,12092097,13370002,13956418,15017287,10770598,10389485,10342029,11109921,11380717,
0,0,1003943,1003241,2076,0,0,1106073,2083563,2058403,
1025458,987503,1052411,1009443,1006884,4684775,4559628,4518301,4135962,3977783,
73111,268461,517122,284109,863,192351,201780,250745,213489,0,
353045,341941,359046,391402,372024,659680,685267,735002,838268,629580,
96034,75749,79033,103335,91416,168940,178937,184089,182957,205575,
330842,368231,355768,357369,458605,661080,681491,667127,631643,643066,
259513,260805,268018,279869,276175,5513071,5523876,5668379,5624735,5900910,
-92617,1496455,1562798,1744916,1903054,3458298,3422049,3288237,9011547,8185535,
90016,90017,90000,450646,280541,567480,474684,384065,623020,717073,
205295,133583,104,47,0,1455341,1577185,1577209,1577256,1577256,
925185,938862,932030,932350,953890,2438368,2480233,2434006,2526973,2608326,
244779,203417,219518,226980,217151,747031,727507,722689,657131,606452,
0,0,7371859,337679,0,0,0,7371859,9306421,0,
8565604,8576549,8643805,8671693,9090923,49405708,47346089,45395658,43748501,41225680,
0,0,863,846,0,0,0,18554,19369,0,
507300,498365,539299,901793,398629,1854407,1792154,1717743,1598889,0,
20333,20333,20333,20333,20333,657332,672665,690498,708331,727221,
211123,223025,226551,217275,219415,2562334,2624662,2666657,2701335,2966207,
704972,894202,1110456,1258756,1262485,4914490,4973340,4781863,4664958,4536697,
1307438,1304266,1312613,1314108,1317909,5307109,4452769,4132601,3677882,3373508,
828229,583950,695377,1032626,1084258,2693035,2623706,2763702,2691374,2708891,
198286,202639,209305,209284,203567,1006863,1055756,1100069,1167253,1116092,
1062210,1044018,1708665,1696650,1865458,862287,739586,5077888,4849314,4331863,
660050,636512,824981,1022380,1022337,2567061,2344056,2265764,1876804,1754847,
807990,829647,919319,935589,1036342,4155357,3980159,3836178,3684187,3661821,
803141,810936,1001676,1003796,1001080,4988857,4941197,4946853,4654831,4416128,
447616,447549,447475,447480,447481,5380034,5191762,5003850,4751484,4565029,
1110186,1096897,1134862,1222497,1467168,5813162,5219562,4809379,4271669,4069364,
1278724,985833,1255473,1335089,1540693,6273536,5882688,5738861,5441307,5436687,
5635338,4207836,3839866,3536779,3536078,5344113,4855145,4239588,3886784,4607544,
1071979,1121879,1165167,1147697,1734177,6451171,6272953,6032993,5658392,5983411,
1666815,1661255,1705421,1713035,3389096,5224380,4941350,4088448,3919169,3606753,
463073,545811,525173,513800,482824,4993259,4458312,4319990,4157431,3991788,
267451,231963,291020,550726,192845,1144192,1008279,961553,1400175,1314945,
27733,238170,96051,60276,30527,560290,729599,668510,588807,544302,
1003475,1008392,712453,564125,675074,3753354,3599915,3380659,3192423,3038642,
2056035,1421629,1454004,1517532,1538660,5092037,4739232,4574135,5579001,5986257,
275251,275251,275251,275251,276026,9934103,10209955,10512466,9360631,9300440,
439600,418968,449594,454871,446789,2578279,2330164,2345888,2267356,2208195,
53420,37695,56416,51320,49644,233929,198293,201136,197144,176500,
2594226,2943412,3048134,3022575,2658792,10850504,11297570,11843132,11608463,11728868,
328211,420297,638647,721336,750735,234376,214332,238806,159357,137641,
834010,886093,899172,904128,927305,2854414,2944426,3096689,3190462,3279833,
2175726,2211867,2564233,2251920,2434746,9924636,9629690,9610212,9890231,9682408,
117999,117999,117999,117999,117999,49401661,49401661,49401661,49401661,49401661,
143765,143768,143771,143774,506435,996227,958488,4460120,4343759,4252124,
1769049,1541963,1660194,1569935,1636552,5511113,5188115,5127269,4763048,4420266,
1093156,960241,907588,910646,952660,2487546,2541831,2584308,2586205,2723745,
226357,264975,295563,319072,310094,1150592,1160155,1098119,1044405,987005,
861205,953024,869510,732306,559266,1303097,1797493,1757348,1746715,1584672,
109133,109999,110269,110305,110885,664574,645109,613812,609651,579122,
87290,84872,86306,88868,94389,1056385,900931,829026,655009,514356,
2115680,2224649,2562074,2340196,2381592,531316,2987960,2977876,2829934,2863745,
297849,317735,296163,295914,334557,1009340,1037442,1041469,1022779,1098357,
403615,392557,377203,388204,399859,1454034,1447821,1424822,1401144,1452776,
132384,133514,185102,194976,201185,1193799,1141368,1135686,1161859,1191704,
207807,510047,559765,431321,483126,3073865,2892184,2524195,2727308,2685675,
505312,618493,597090,572525,540334,2966453,2714861,2711647,2742830,2727101,
643331,639739,693603,664478,735653,984422,787855,1125840,775789,492423,
522845,540001,538082,547872,610747,5112587,4885459,4723814,4580224,4373257,
29866569,28950977,45398946,43226870,38423512,124569171,117451905,152435479,176989491,194885584,
2005563,1869214,1932809,1926027,1943629,1055202,936818,1281209,938280,1332221,
329259,320014,344943,348365,350847,2297599,2207459,2170124,2136627,2103232,
3984537,4017831,4013584,4059041,6731741,26829396,26233746,25459996,25123485,14224205,
135615,141436,168244,121185,105120,1001713,977770,919701,608911,515717,
629309,600419,3420041,5528027,4370553,3597936,3398895,22625181,41822629,46498236,
598464,608901,628690,652669,649853,905201,1304113,1302620,1346911,1338406,
22264861,22427879,26591187,31101051,37247775,29660090,28506168,29369779,25595105,26790938,
386688,410295,421365,383330,338863,1163424,1122532,1063570,911621,757856,
478528,427957,481210,471706,519355,1657594,1599483,1782110,1604557,1344192,
477498,481319,821899,543282,513205,2707174,2645058,2564846,2564210,2540588,
206720,206685,201145,204371,353324,470148,393876,334543,231858,205657,
312963,58109,68428,931169,95197,4311303,4330923,4381385,5249455,4508666,
1899940,1868605,2244735,2395780,2432210,5441332,5088071,5095242,4887356,4875107,
1654423,1728220,1650614,1687759,1634615,4897510,4792795,6348882,6398865,6102204,
241140,255412,256462,291086,277336,920332,926265,917382,903151,950795,
0,0,0,2156553,0,877531,769489,661447,553405,445363,
527885,132850,139188,144196,149034,784691,464625,398243,361968,308396,
5009414,5076055,5214153,5164224,5244822,18109827,17511589,17066386,16656751,15512607,
354805,377172,388904,375533,383920,1829515,1702469,1592343,1412697,1344427,
652453,661090,743188,754510,763224,3173301,3182248,3999403,4804179,5217824,
495769,495329,495894,495990,501691,1114361,1112746,1093631,1088387,1100938,
795465,784508,796731,800356,844055,4932296,5029391,5138518,5250786,5295359,
845118,845145,845056,845053,844186,26748066,26854936,26964742,27073195,27242701,
562938,449879,401523,413496,351388,728360,854419,590643,747486,686287,
848810,941606,940455,1163398,908681,1781567,1660740,1573968,1623336,1452967,
2850699,2750063,2392395,3116906,4102794,0,8227721,8166760,8852748,7478607,
2243610,2217300,2069343,2270818,2313270,603980,826534,391505,341695,423716,
712088,862936,852920,891497,954318,3583083,3285165,3061719,2982688,2929427,
1880816,1882382,1949340,1982510,2065455,6025525,6221421,206076,351749,647181,
68306,92908,65573,65546,317348,6539,17873,5023,12365,224401,
821386,986855,896202,2953331,1245933,10888867,13059539,13927682,15577307,16910834,
476169,452019,544418,484182,464605,4397348,4357167,4458144,4612486,4560972,
1113456,1407150,1965731,1391439,1330828,6106888,6366678,7838141,8089129,9184533,
66200,66800,67400,68000,68600,677447,635674,608797,589441,561582,
127712,139084,150907,148203,2249,1006722,947840,899855,853913,0,
790123,857001,599234,599548,1233717,4962621,4363460,4248380,4071616,3987477,
583458,596310,585345,638847,372507,1873438,1521554,1257873,5401441,5194006,
201478,197135,718090,60885,27924,424222,429939,807299,715277,713588,
1615013,2098304,2092741,1663689,2168749,5501150,6215661,5679493,5203359,5213469,
216453,223987,243966,242831,978182,1637258,1658529,1445913,1408757,1822818,
6094936,6287105,6707695,6809106,6913734,27240455,26644812,26546551,26111387,25826097,
225671,258190,261306,258190,258190,5461261,5683356,5942792,6200707,6458621,
58104,60032,62192,64856,69497,1434127,1494159,1556351,1621207,1690704,
1582757,2372263,1446739,1357046,1405627,3817287,4052966,4209705,4284449,4181646,
409203,408381,407122,418847,481283,3062154,3172036,3143228,3164796,3285088,
2675682,2828867,3155165,3294736,3310874,30073007,29975006,30037084,30386143,30419851,
34096342,36143750,35204805,39395495,48925659,19144189,20731617,25878865,28451573,31660998,
,,,,,0,0,0,0,0,
