10581915,9099362,9969861,7905032,9679234,8.73E+06
692157,694253,699029,766957,819289,6.60E+05
723325,705854,710536,751044,739391,6.60E+05
0,0,0,0,0,3.40E+05
485906,481980,518288,589416,559776,5.49E+05
168695,169674,171469,172696,173452,3.40E+05
117024,117260,117244,118584,118168,3.40E+05
154939,154859,155930,153077,151274,3.40E+05
489880,542680,655905,496926,539296,5.49E+05
2357931,2847814,3199959,3233820,3129806,2.84E+06
4307933,4172712,4088143,4587836,14106564,8.73E+06
1614011,1519934,1431879,1298091,1024362,1.40E+06
1351238,1361331,1355199,8629087,54240,1.40E+06
0,0,0,0,0,3.40E+05
3062023,3263467,3448750,3628194,3469848,2.84E+06
2620889,2944309,2854209,2930649,2989381,2.84E+06
361144,58266,327925,101071,60229,5.49E+05
1823893,1782970,1751369,1933488,1521711,2.03E+06
1965770,2502881,2610778,2733392,2775912,2.84E+06
1184200,1408215,1416698,1502850,1637072,1.40E+06
1331834,1361833,1766926,1706999,1706893,2.16E+06
605292,637879,674082,676362,652953,6.60E+05
3783578,5650379,4093610,3420834,3571867,4.40E+06
1045068,1260398,961075,3367557,173197,9.01E+05
434335,542387,356097,670831,470316,5.13E+05
762215,794299,759816,787486,802686,6.60E+05
853057,858258,879350,929660,912013,9.01E+05
6986295,7210527,7630818,7689639,8530875,8.73E+06
349977,462744,226351,247042,246567,5.13E+05
1087085,2372006,2349089,1671187,1542804,1.40E+06
182456,219005,184426,190481,233673,5.13E+05
1543798,1504745,1539556,2316269,2287994,2.08E+06
4550769,3612092,3639238,3794638,16656581,9.37E+06
204315,208589,207711,197067,169853,5.13E+05
512310,837303,933957,1095211,1050877,1.40E+06
3538891,4921117,4781421,4663799,5133432,6.08E+06
208540,105718,0,118671,95036,3.40E+05
1479799,1509075,1523196,1529997,1582500,1.40E+06
20285170,473314,199963,4008,123,3.40E+05
135790,339843,122052,72785,183642,5.13E+05
393046,254596,691756,452859,384491,5.49E+05
1495189,1512610,1534521,1539668,1549639,1.40E+06
25403,1814049,1882736,2252962,1965737,2.08E+06
104497,111532,119645,126734,132199,3.40E+05
3246855,3317093,3368454,3398623,3462124,2.84E+06
1487840,1557250,1764340,1931034,1879225,2.03E+06
251845,107760,144303,186187,195528,3.40E+05
1667623,1719603,1687453,1687632,1671305,2.08E+06
371947,337361,701067,232398,81439,5.49E+05
0,0,0,0,971291,9.01E+05
119601,164840,170394,125546,143984,5.13E+05
746431,964611,878106,1116014,1583486,1.40E+06
1314903,119605,135894,72656,68658,3.40E+05
5476002,5175718,5278426,5185797,5503787,5.13E+06
-287136,-877028,97021,98945,101341,3.40E+05
1216142,1050471,918198,850173,2140086,1.40E+06
1665501,1580904,1481184,1654219,2038053,2.03E+06
2845019,2541595,3005913,3812420,4817659,2.73E+06
2748571,2234446,2248296,2694599,2827589,2.84E+06
1088719,1052584,1083789,1989083,1216409,1.40E+06
620675,680869,733164,992845,914781,1.40E+06
325134,240978,389302,166456,289982,6.60E+05
286946,293317,292758,322918,323428,5.13E+05
799206,1045323,134501,105370,105814,5.13E+05
26952390,27187002,23819723,7834335,2847,8.73E+06
28580302,37312358,38909532,45181344,55038237,3.80E+07
0,0,0,0,59848,3.40E+05
829773,891394,905740,885693,927076,9.01E+05
